name,long,lat
other,-115.248789,36.14398502
other,-115.2488494,36.14397727
other,-115.2489281,36.14397615
other,-115.2490934,36.14397406
other,-115.2503743,36.14396788
other,-115.2505143,36.14396566
other,-115.2505827,36.14396229
other,-115.2507709,36.14395405
other,-115.2508911,36.1439338
other,-115.2509459,36.14392409
other,-115.2510876,36.14391736
other,-115.2511587,36.1439119
other,-115.2512183,36.14390811
other,-115.2513056,36.14390543
other,-115.2525528,36.14391576
other,-115.2526231,36.14390999
other,-115.2527117,36.14391007
other,-115.2527627,36.1439089
other,-115.2529333,36.14389557
other,-115.2530391,36.14388069
other,-115.2530992,36.14386829
other,-115.2532613,36.1438572
other,-115.2533303,36.14385441
other,-115.2076192,36.14435704
other,-115.207264,36.14435234
other,-115.2070487,36.14435316
other,-115.2069133,36.14435059
other,-115.2067828,36.14435154
other,-115.2066469,36.1443499
other,-115.2064874,36.14435018
other,-115.20634,36.14434779
other,-115.2057775,36.14434512
other,-115.2056022,36.14434372
other,-115.2054278,36.14434245
other,-115.2051693,36.14434092
other,-115.2050522,36.14434255
other,-115.2049274,36.14433944
other,-115.204777,36.14433782
other,-115.2041256,36.14433411
other,-115.2035681,36.14432991
other,-115.2033955,36.14433051
other,-115.2032424,36.14432616
other,-115.1518772,36.17186702
other,-115.1518227,36.17190511
other,-115.1518086,36.17192349
other,-115.151749,36.17195589
other,-115.1516472,36.17202784
other,-115.1516173,36.17205183
other,-115.1515769,36.17208714
other,-115.2028945,36.14432637
other,-115.202575,36.14432512
other,-115.2024277,36.14432203
other,-115.2022824,36.1443235
other,-115.2021293,36.14432196
other,-115.2017577,36.14432069
other,-115.2015887,36.14432121
other,-115.2014096,36.14432251
other,-115.2010875,36.14431577
other,-115.2003827,36.14430783
other,-115.1738179,36.14433788
other,-115.1739804,36.14433707
other,-115.174093,36.14433664
other,-115.1741564,36.14433144
other,-115.1742182,36.14432219
other,-115.1759587,36.14432344
other,-115.1760288,36.14432338
other,-115.1760851,36.14431918
other,-115.1814108,36.14432984
other,-115.181483,36.14433154
other,-115.1825852,36.1443745
other,-115.1826623,36.14437131
other,-115.1827272,36.14437402
other,-115.182855,36.14437387
other,-115.1829792,36.14436577
other,-115.1830433,36.14435976
other,-115.1831162,36.14434883
other,-115.1832789,36.14434644
other,-115.1843171,36.14437698
other,-115.1843981,36.14436932
other,-115.1844818,36.14435956
other,-115.184577,36.14435308
other,-115.1847127,36.14435411
other,-115.184803,36.14435594
other,-115.185002,36.14435613
other,-115.1859685,36.14439707
other,-115.1861027,36.14439625
other,-115.1861857,36.14439804
other,-115.1863008,36.14440055
other,-115.1863759,36.14440256
other,-115.1865429,36.14439385
other,-115.1866037,36.14438982
other,-115.1867169,36.14438995
other,-115.1867955,36.1443887
other,-115.1868833,36.14438648
other,-115.186986,36.14438806
other,-115.1871002,36.14438806
other,-115.1871921,36.14438338
other,-115.1873019,36.14438487
other,-115.1873579,36.14438541
other,-115.1874182,36.14438825
other,-115.1875053,36.14438241
other,-115.1875602,36.14438049
other,-115.1884421,36.14441519
other,-115.1885173,36.14442012
other,-115.1885878,36.14441806
other,-115.188686,36.14441719
other,-115.1888189,36.14441149
other,-115.1888908,36.1444064
other,-115.1889913,36.14440554
other,-115.1890663,36.14440826
other,-115.1892578,36.14440687
other,-115.1893237,36.14440012
other,-115.1929567,36.14444542
other,-115.1930317,36.14443875
other,-115.1931123,36.14442525
other,-115.1931813,36.14442229
other,-115.193261,36.14441958
other,-115.1933324,36.1444211
other,-115.1934288,36.14441843
other,-115.1935065,36.14441911
other,-115.1945287,36.14445898
other,-115.194607,36.14446037
other,-115.1946983,36.14445927
other,-115.1947865,36.14445956
other,-115.1948741,36.14446342
other,-115.1950454,36.14445757
other,-115.1951354,36.14445458
other,-115.1952402,36.14444681
other,-115.1953429,36.1444361
other,-115.1954183,36.14443449
other,-115.1954908,36.14443414
other,-115.1961949,36.14447245
other,-115.1962924,36.1444722
other,-115.1963747,36.14447217
other,-115.1964827,36.14447253
other,-115.1965787,36.14447185
other,-115.1966867,36.14446605
other,-115.1967757,36.14445862
other,-115.196869,36.14445782
other,-115.196964,36.14445846
other,-115.1970331,36.14445892
other,-115.19713,36.14445957
other,-115.1972113,36.14446013
other,-115.1973106,36.14445119
other,-115.1973879,36.14444746
other,-115.1974626,36.14444915
other,-115.1981746,36.1444844
other,-115.1982327,36.14448203
other,-115.1983117,36.14448641
other,-115.1984165,36.14448482
other,-115.1984854,36.14448321
other,-115.1985884,36.14447785
other,-115.198671,36.14446996
other,-115.1987836,36.14447072
other,-115.198915,36.14445798
other,-115.1989875,36.14445656
other,-115.1990642,36.14445406
other,-115.1991515,36.14445553
other,-115.1992294,36.14445716
other,-115.2003161,36.14450071
other,-115.2003948,36.14450059
other,-115.2004749,36.14450227
other,-115.2006663,36.1445036
other,-115.2007589,36.14450333
other,-115.2008481,36.14449659
other,-115.2009232,36.1444927
other,-115.2010818,36.14449003
other,-115.2012838,36.14448052
other,-115.2014608,36.14447365
other,-115.202384,36.14451185
other,-115.2024534,36.14451294
other,-115.1549799,36.16836172
other,-115.1549402,36.16841262
other,-115.1546004,36.16874568
other,-115.1545696,36.16878953
other,-115.1545326,36.16884044
other,-115.1544886,36.16890338
other,-115.1544754,36.16891822
other,-115.1544404,36.16898084
other,-115.1543991,36.1690367
other,-115.1543919,36.16905723
other,-115.1543585,36.16910036
other,-115.1543443,36.1691315
other,-115.1542968,36.1692001
other,-115.1542783,36.16922627
other,-115.1542589,36.16925526
other,-115.1541432,36.1696306
other,-115.1541273,36.16965961
other,-115.1541025,36.16970915
other,-115.1540823,36.16973176
other,-115.154055,36.16977136
other,-115.1540346,36.16980816
other,-115.1608546,36.18450505
other,-115.1552804,36.16695232
other,-115.1552767,36.16699909
other,-115.1552868,36.16705585
other,-115.1552935,36.16711401
other,-115.1552985,36.16716223
other,-115.1553026,36.16720868
other,-115.1553013,36.16729092
other,-115.1553064,36.16731504
other,-115.1552948,36.16735187
other,-115.1553052,36.16737175
other,-115.1551166,36.16813676
other,-115.1551069,36.16815728
other,-115.1550459,36.16826695
other,-115.1550275,36.16828178
other,-115.1550063,36.16831431
other,-115.1540081,36.16984706
other,-115.153972,36.16989726
