,state,long,lat
613,nevada,-115.257174,36.14378247
614,nevada,-115.135193,36.16698354
615,nevada,-115.2409156,36.1441366
616,nevada,-115.240997,36.14413046
617,nevada,-115.2534083,36.14385281
618,nevada,-115.2547584,36.14385258
619,nevada,-115.2549096,36.14384598
620,nevada,-115.2549825,36.14384
621,nevada,-115.255067,36.14384257
622,nevada,-115.2551527,36.14383371
623,nevada,-115.2552282,36.14382925
624,nevada,-115.255369,36.14381229
625,nevada,-115.2554379,36.14379682
626,nevada,-115.2555704,36.14379244
627,nevada,-115.2556652,36.14378921
628,nevada,-115.2558227,36.14378775
629,nevada,-115.255888,36.14378785
630,nevada,-115.1352604,36.16701171
631,nevada,-115.1353343,36.16704508
632,nevada,-115.1355992,36.16715816
633,nevada,-115.1358863,36.16728131
634,nevada,-115.1348314,36.166641
635,nevada,-115.1347582,36.16660708
636,nevada,-115.1346816,36.16657241
637,nevada,-115.2750747,36.14402473
638,nevada,-115.1346069,36.16654232
639,nevada,-115.1345344,36.16651208
640,nevada,-115.1343546,36.166432
641,nevada,-115.1342637,36.1663966
642,nevada,-115.1339723,36.16645987
643,nevada,-115.134195,36.16655455
644,nevada,-115.1342719,36.16658969
645,nevada,-115.1343975,36.16664282
646,nevada,-115.1344807,36.16667597
647,nevada,-115.1346494,36.16675272
648,nevada,-115.1347416,36.16679383
649,nevada,-115.1336654,36.16613665
650,nevada,-115.1335882,36.16610521
651,nevada,-115.1335169,36.16607397
652,nevada,-115.1334398,36.1660417
653,nevada,-115.1333509,36.16600331
654,nevada,-115.1332585,36.16596448
655,nevada,-115.1331702,36.16592412
656,nevada,-115.1330832,36.16588702
657,nevada,-115.1329943,36.16584965
658,nevada,-115.1329037,36.16580938
659,nevada,-115.1328093,36.16596042
660,nevada,-115.132964,36.16602431
661,nevada,-115.1330614,36.16606827
662,nevada,-115.1335745,36.16628998
663,nevada,-115.1323689,36.16558154
664,nevada,-115.1318346,36.16535256
665,nevada,-115.1317566,36.16532068
666,nevada,-115.1316592,36.16546592
667,nevada,-115.1318652,36.16555357
668,nevada,-115.1319611,36.16559232
669,nevada,-115.1321628,36.16568227
670,nevada,-115.1322458,36.16571705
671,nevada,-115.1324439,36.16580346
672,nevada,-115.1312985,36.16511837
673,nevada,-115.1312275,36.1650888
674,nevada,-115.1310653,36.16501834
675,nevada,-115.1309703,36.16497886
676,nevada,-115.1307871,36.16490115
677,nevada,-115.1307165,36.16486956
678,nevada,-115.1306274,36.16483197
679,nevada,-115.1305379,36.16497833
680,nevada,-115.1306188,36.16501371
681,nevada,-115.1308212,36.16510096
682,nevada,-115.1309082,36.16514161
683,nevada,-115.1309881,36.16517717
684,nevada,-115.1312882,36.16530508
685,nevada,-115.1302523,36.16464918
686,nevada,-115.1300728,36.16457493
687,nevada,-115.129973,36.16453122
688,nevada,-115.1298854,36.1644937
689,nevada,-115.1297953,36.16445572
690,nevada,-115.1297059,36.16441425
691,nevada,-115.129615,36.1643761
692,nevada,-115.1295251,36.16433826
693,nevada,-115.1294429,36.16430377
694,nevada,-115.129365,36.16450025
695,nevada,-115.1295887,36.16459688
696,nevada,-115.1299847,36.16476901
697,nevada,-115.1301573,36.16484339
698,nevada,-115.2665008,36.14378012
699,nevada,-115.2678488,36.14384792
700,nevada,-115.2679108,36.14384974
701,nevada,-115.2679915,36.14385402
702,nevada,-115.2680469,36.14385642
703,nevada,-115.2681473,36.14385488
704,nevada,-115.2682537,36.14385134
705,nevada,-115.2683906,36.14383433
706,nevada,-115.26846,36.14382829
707,nevada,-115.2712875,36.14390228
708,nevada,-115.2713861,36.14389951
709,nevada,-115.2714711,36.14390292
710,nevada,-115.2715526,36.14390663
711,nevada,-115.2729263,36.14397225
712,nevada,-115.2729899,36.14397172
713,nevada,-115.2730676,36.14397689
714,nevada,-115.2731605,36.1439786
715,nevada,-115.2732326,36.14397666
716,nevada,-115.2733394,36.14395718
717,nevada,-115.2734215,36.14395095
718,nevada,-115.2735887,36.1439557
719,nevada,-115.2736718,36.14395642
720,nevada,-115.2751665,36.14402653
721,nevada,-115.2752883,36.14402996
722,nevada,-115.2755705,36.14402019
723,nevada,-115.2756727,36.14401915
724,nevada,-115.2757661,36.14401496
725,nevada,-115.275896,36.14400702
726,nevada,-115.2759692,36.14401327
727,nevada,-115.2760267,36.14401391
728,nevada,-115.2760951,36.14401433
729,nevada,-115.2762722,36.14401879
730,nevada,-115.2763494,36.14402107
731,nevada,-115.1531233,36.14367978
732,nevada,-115.1530414,36.14368531
733,nevada,-115.1529685,36.14368834
734,nevada,-115.1528981,36.1436896
735,nevada,-115.1523814,36.14367502
736,nevada,-115.1506655,36.17261486
737,nevada,-115.1506496,36.17264458
738,nevada,-115.1505848,36.17267696
739,nevada,-115.1505811,36.17269537
740,nevada,-115.2963323,36.29199844
741,nevada,-115.1505144,36.17274192
742,nevada,-115.1504812,36.17274889
