,name,long,lat
251,other,-115.1802673,36.14434998
252,other,-115.1803472,36.1443503
253,other,-115.1804551,36.14434824
254,other,-115.180542,36.14434277
255,other,-115.1806215,36.14434182
256,other,-115.2308676,36.14411948
257,other,-115.2309624,36.14410547
258,other,-115.2311161,36.14409675
259,other,-115.2311857,36.14409109
260,other,-115.2322316,36.14410106
261,other,-115.2322981,36.14409329
262,other,-115.232458,36.14409335
263,other,-115.2351588,36.14408605
264,other,-115.2352349,36.14407594
265,other,-115.1761951,36.14431483
266,other,-115.1763312,36.14429612
267,other,-115.176396,36.14429339
268,other,-115.178056,36.14433463
269,other,-115.1782071,36.14433788
270,other,-115.1782669,36.1443373
271,other,-115.1783828,36.14433886
272,other,-115.2460096,36.14409453
273,other,-115.2460746,36.14409203
274,other,-115.1740413,36.14433921
275,other,-115.2461371,36.14408595
276,other,-115.2462176,36.1440814
277,other,-115.2463426,36.1440598
278,other,-115.2464541,36.1440445
279,other,-115.2465582,36.14404271
280,other,-115.2466365,36.14403965
281,other,-115.2468449,36.14403845
282,other,-115.2479412,36.1440352
283,other,-115.2480124,36.14403058
284,other,-115.2481677,36.14402901
285,other,-115.2482908,36.14402644
286,other,-115.2484211,36.14402418
287,other,-115.2485021,36.1440129
288,other,-115.2486136,36.14399736
289,other,-115.2487183,36.14398616
290,other,-115.248789,36.14398502
291,other,-115.2488494,36.14397727
292,other,-115.2489281,36.14397615
293,other,-115.2490934,36.14397406
294,other,-115.2503743,36.14396788
295,other,-115.2505143,36.14396566
296,other,-115.2505827,36.14396229
297,other,-115.2507709,36.14395405
298,other,-115.2508911,36.1439338
299,other,-115.2509459,36.14392409
300,other,-115.2510876,36.14391736
301,other,-115.2511587,36.1439119
302,other,-115.2512183,36.14390811
303,other,-115.2513056,36.14390543
304,other,-115.2525528,36.14391576
305,other,-115.2526231,36.14390999
306,other,-115.2527117,36.14391007
307,other,-115.2527627,36.1439089
308,other,-115.2529333,36.14389557
309,other,-115.2530391,36.14388069
310,other,-115.2530992,36.14386829
311,other,-115.2532613,36.1438572
312,other,-115.2533303,36.14385441
313,other,-115.2076192,36.14435704
314,other,-115.207264,36.14435234
