,state,year,condition,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1904,colorado,2013,mean ,-6.0,-4.0,2.0,4.0,11.0,18.0,20.0,19.0,16.0,7.0,2.0,-5.0
1917,colorado,2018,min ,-9.0,-9.0,-5.0,-2.0,6.0,10.0,12.0,11.0,8.0,1.0,-7.0,-10.0
1918,colorado,2018,max ,6.0,5.0,11.0,14.0,22.0,28.0,29.0,27.0,25.0,14.0,7.0,4.0
1919,colorado,2018,mean ,-2.0,-2.0,3.0,7.0,14.0,19.0,21.0,19.0,16.0,7.0,0.0,-3.0
1932,colorado,2023,min ,-11.0,-11.0,-8.0,-3.0,5.0,8.0,12.0,12.0,7.0,1.0,,
1933,colorado,2023,max ,1.0,3.0,6.0,13.0,19.0,23.0,29.0,28.0,24.0,17.0,,
1934,colorado,2023,mean ,-4.0,-4.0,-1.0,5.0,12.0,16.0,21.0,19.0,16.0,9.0,,
2958,florida,1978,min ,5.0,4.0,10.0,13.0,18.0,21.0,22.0,22.0,21.0,16.0,14.0,11.0
2959,florida,1978,max ,17.0,17.0,23.0,28.0,31.0,32.0,32.0,32.0,32.0,28.0,26.0,23.0
2960,florida,1978,mean ,11.0,11.0,16.0,21.0,24.0,27.0,27.0,27.0,26.0,22.0,20.0,17.0
2973,florida,1983,min ,7.0,8.0,10.0,12.0,17.0,21.0,22.0,22.0,20.0,17.0,11.0,9.0
2974,florida,1983,max ,18.0,19.0,22.0,25.0,29.0,31.0,33.0,33.0,31.0,28.0,23.0,20.0
2975,florida,1983,mean ,13.0,14.0,16.0,19.0,23.0,26.0,28.0,28.0,25.0,23.0,17.0,14.0
2988,florida,1988,min ,7.0,7.0,11.0,14.0,16.0,20.0,22.0,22.0,22.0,14.0,14.0,8.0
2989,florida,1988,max ,18.0,21.0,23.0,27.0,29.0,32.0,32.0,32.0,31.0,28.0,26.0,22.0
2990,florida,1988,mean ,12.0,14.0,17.0,21.0,23.0,26.0,27.0,27.0,27.0,21.0,19.0,15.0
3003,florida,1993,min ,12.0,8.0,11.0,12.0,17.0,21.0,22.0,22.0,21.0,17.0,13.0,7.0
3004,florida,1993,max ,22.0,21.0,23.0,26.0,29.0,33.0,33.0,33.0,32.0,28.0,24.0,20.0
3005,florida,1993,mean ,17.0,14.0,17.0,18.0,23.0,27.0,28.0,28.0,26.0,23.0,18.0,13.0
